"URL","Language","Title","Meta description","H1","Indexing","Last modified","Schema"
"/about","ka","ჩვენ შესახებ — webandapp, ვებ სტუდია თბილისში","webandapp — ვებ სტუდია თბილისში: საიტები, ონლაინ მაღაზიები და მობილური აპლიკაციები ბიზნესებისთვის მთელ საქართველოში. როგორ ვმუშაობთ და რაზე ვაგებთ პასუხს.","webandapp — ვებსაიტებისა და აპლიკაციების სტუდია თბილისში","index","2026-09-12","ProfessionalService; WebSite; WebPage; BreadcrumbList"
"/blog","ka","ბლოგი — საიტები, აპლიკაციები, ფასები და ვადები | webandapp","პრაქტიკული სტატიები ბიზნესისთვის: რა ღირს საიტი და აპლიკაცია, რამდენ ხანში მზადდება, WordPress თუ ინდივიდუალური კოდი, დომენი და ჰოსტინგი საქართველოში.","ბლოგი","index","2026-09-12","ProfessionalService; WebSite; WebPage; BreadcrumbList"
"/faq","ka","ხშირი კითხვები საიტისა და აპლიკაციის შეკვეთაზე | webandapp","პასუხები საიტისა და აპლიკაციის შეკვეთის კითხვებზე: ფასები, ვადები, დომენი და ჰოსტინგი, SEO, მხარდაჭერა და თანამშრომლობის პროცესი.","ხშირი კითხვები საიტისა და აპლიკაციის შეკვეთაზე","index","2026-09-12","ProfessionalService; WebSite; WebPage; BreadcrumbList; FAQPage"
"/contact","ka","კონტაქტი — მოგვწერეთ ან დაგვირეკეთ | webandapp","მოგვწერეთ პროექტის შესახებ ან დაგვირეკეთ: +995 599 30 84 14. ვემსახურებით ბიზნესებს მთელ საქართველოში — თბილისში, ბათუმში, ქუთაისში და დისტანციურად.","კონტაქტი","index","2026-09-12","ProfessionalService; WebSite; WebPage; BreadcrumbList"
"/privacy-policy","ka","კონფიდენციალურობა | webandapp","კონფიდენციალურობა — webandapp. მოგვწერეთ: mishvelidze.u@gmail.com","კონფიდენციალურობა","noindex","2026-09-12","ProfessionalService; WebSite; WebPage; BreadcrumbList"
"/terms","ka","გამოყენების პირობები | webandapp","გამოყენების პირობები — webandapp. ფორმის გაგზავნით ითხოვთ შეთავაზებას. ეს შეკვეთის ან გადახდის დადასტურება არ არის.","გამოყენების პირობები","noindex","2026-09-12","ProfessionalService; WebSite; WebPage; BreadcrumbList"
"/blog/saitis-damzadebis-fasi","ka","რა ღირს საიტის დამზადება საქართველოში 2026 წელს | webandapp","საიტის დამზადების ფასი საქართველოში: რა განსაზღვრავს ღირებულებას, რა შედის ფასში, რა არის ფარული ხარჯი და როგორ შეადაროთ სააგენტოების შეთავაზებები ერთმანეთს.","რა ღირს საიტის დამზადება საქართველოში 2026 წელს","index","2026-09-12","ProfessionalService; WebSite; WebPage; BreadcrumbList; BlogPosting"
"/blog/ramden-khanshi-mzaddeba-saiti","ka","რამდენ ხანში მზადდება საიტი — ვადები ტიპების მიხედვით | webandapp","რამდენ ხანში მზადდება ვებსაიტი: ორიენტირები ლენდინგისთვის, ბიზნეს საიტისა და ონლაინ მაღაზიისთვის, ეტაპების ხანგრძლივობა და რა აჭიანურებს პროექტს.","რამდენ ხანში მზადდება საიტი — ვადები ტიპების მიხედვით","index","2026-09-12","ProfessionalService; WebSite; WebPage; BreadcrumbList; BlogPosting"
"/blog/facebook-gverdi-tu-saiti","ka","Facebook გვერდი თუ ვებსაიტი — რომელი სჭირდება ბიზნესს? | webandapp","გაქვთ Facebook და Instagram გვერდი და ფიქრობთ, საიტი მართლა გჭირდებათ თუ არა? როდის საკმარისია სოცქსელი, რას იძლევა საკუთარი საიტი და როგორ მუშაობს ორივე ერთად.","Facebook გვერდი თუ ვებსაიტი — რომელი სჭირდება ბიზნესს?","index","2026-09-12","ProfessionalService; WebSite; WebPage; BreadcrumbList; BlogPosting"
"/blog/aplikaciis-damzadebis-fasi","ka","რა ღირს მობილური აპლიკაციის შექმნა — რაზეა დამოკიდებული ფასი | webandapp","აპლიკაციის დამზადების ფასი: რა განსაზღვრავს ღირებულებას, MVP თუ სრული ვერსია, iOS და Android ერთად თუ ცალკე, სერვერისა და მაღაზიების ხარჯები, ბიუჯეტი ეტაპობრივად.","რა ღირს მობილური აპლიკაციის შექმნა — რაზეა დამოკიდებული ფასი","index","2026-09-12","ProfessionalService; WebSite; WebPage; BreadcrumbList; BlogPosting"
"/blog/wordpress-tu-individualuri-saiti","ka","WordPress თუ ინდივიდუალური საიტი — რა ავირჩიოთ | webandapp","WordPress თუ ინდივიდუალური კოდი: შედარება ფასის, სისწრაფის, უსაფრთხოების, მოვლის ხარჯისა და გაფართოების მიხედვით — რომელი ერგება თქვენს ბიზნესს.","WordPress თუ ინდივიდუალური საიტი — რა ავირჩიოთ","index","2026-09-12","ProfessionalService; WebSite; WebPage; BreadcrumbList; BlogPosting"
"/blog/domeni-da-hostingi-saqartveloshi","ka","დომენი და ჰოსტინგი საქართველოში — რა უნდა იცოდეთ საიტის შეკვეთამდე | webandapp","დომენის რეგისტრაცია (.ge, .com) და ჰოსტინგის არჩევა საქართველოში: ვის სახელზე უნდა იყოს, რომელი ჰოსტინგი ერგება რომელ საიტს, SSL, DNS, ელფოსტა და წლიური ხარჯები.","დომენი და ჰოსტინგი საქართველოში — რა უნდა იცოდეთ საიტის შეკვეთამდე","index","2026-09-12","ProfessionalService; WebSite; WebPage; BreadcrumbList; BlogPosting"
"/blog/online-magaziis-fasi","ka","რა ღირს ონლაინ მაღაზიის შექმნა საქართველოში | webandapp","ონლაინ მაღაზიის შექმნის ფასი: რა განსაზღვრავს ღირებულებას, WooCommerce თუ ინდივიდუალური მაღაზია, ქართული ბანკებით გადახდა, მიწოდება, კატალოგი და მიმდინარე ხარჯები.","რა ღირს ონლაინ მაღაზიის შექმნა საქართველოში","index","2026-09-12","ProfessionalService; WebSite; WebPage; BreadcrumbList; BlogPosting"
"/blog/website-brief","ka","რა ინფორმაცია უნდა მოამზადოთ საიტის შეკვეთამდე | webandapp","პრაქტიკული ჩამონათვალი საიტის შეკვეთამდე: მიზანი, აუდიტორია, გვერდების სია, ტექსტები და ფოტოები, ფუნქციები, ინტეგრაციები და წვდომები — რაც პროექტს აჩქარებს.","რა ინფორმაცია უნდა მოამზადოთ საიტის შეკვეთამდე","index","2026-09-12","ProfessionalService; WebSite; WebPage; BreadcrumbList; BlogPosting"
"/blog/online-store-checklist","ka","რა უნდა დაგეგმოთ ონლაინ მაღაზიის შექმნამდე | webandapp","ონლაინ მაღაზიის ჩამონათვალი: პროდუქტის მონაცემები, შეკვეთის გზა, გადახდა, მიწოდება, იურიდიული ტექსტები და ტესტირება — რაც მაღაზიის ფასსა და ვადას განსაზღვრავს.","რა უნდა დაგეგმოთ ონლაინ მაღაზიის შექმნამდე","index","2026-09-12","ProfessionalService; WebSite; WebPage; BreadcrumbList; BlogPosting"
"/blog/why-not-google","ka","რატომ არ ჩანს ვებსაიტი Google-ში — მიზეზების პოვნა ნაბიჯ-ნაბიჯ | webandapp","საიტი Google-ში არ ჩანს? ინდექსაცია, ტექნიკური დაბრკოლებები, კონტენტი, კონკურენცია და ავტორიტეტი — როგორ იპოვოთ რეალური მიზეზი Search Console-ით ნაბიჯ-ნაბიჯ.","რატომ არ ჩანს ვებსაიტი Google-ში — მიზეზების პოვნა ნაბიჯ-ნაბიჯ","index","2026-09-12","ProfessionalService; WebSite; WebPage; BreadcrumbList; BlogPosting"
"/404","ka","ეს გვერდი ვერ მოიძებნა | webandapp","შესაძლოა მისამართი შეიცვალა ან არასწორადაა შეყვანილი. დაბრუნდით მთავარ გვერდზე ან დაგვიკავშირდით.","ეს გვერდი ვერ მოიძებნა","noindex","2026-09-12","ProfessionalService; WebSite; WebPage; BreadcrumbList"
"/en","en","Website & app development in Georgia | webandapp","Website, online store and mobile app development for businesses in Georgia: written scope, mobile-first design and SEO foundations. Send a short brief for an estimate.","Website and app development for businesses in Georgia.","index","2026-09-12","ProfessionalService; WebSite; WebPage; FAQPage"
"/en/website-development","en","Website development for businesses in Georgia | webandapp","Website development for businesses in Georgia: structure, design, mobile version, SEO foundations, domain and hosting. What is included and what affects the price.","Website development for businesses","index","2026-09-12","ProfessionalService; WebSite; WebPage; BreadcrumbList; Service; FAQPage"
"/en/ecommerce-development","en","Online store development in Georgia — ecommerce websites | webandapp","Online store development in Georgia: catalogue, cart, payment through Georgian banks, delivery rules and order management. From GEL 600.","Online store development","index","2026-09-12","ProfessionalService; WebSite; WebPage; BreadcrumbList; Service; FAQPage"
"/en/mobile-app-development","en","Mobile app development — iOS and Android apps in Georgia | webandapp","Mobile app development for iOS and Android: MVP, design, backend and store publication. App development from GEL 1,100.","Mobile app development for iOS and Android","index","2026-09-12","ProfessionalService; WebSite; WebPage; BreadcrumbList; Service; FAQPage"
"/en/custom-software","en","Custom software development for businesses | webandapp","Custom software for businesses: CRM and order systems, workflow automation, admin panels and integrations with existing systems.","Custom software development","index","2026-09-12","ProfessionalService; WebSite; WebPage; BreadcrumbList; Service; FAQPage"
"/en/ui-ux-design","en","UI/UX design for websites and apps | webandapp","UI/UX design: user journeys, page structure, an interactive Figma prototype and a design system for a website or mobile app.","UI/UX design for websites and apps","index","2026-09-12","ProfessionalService; WebSite; WebPage; BreadcrumbList; Service; FAQPage"
"/en/seo","en","SEO optimisation — search engine optimisation in Georgia | webandapp","SEO optimisation in Georgia: technical audit, Georgian keyword mapping, content plan, local SEO and measurement through Search Console. From GEL 50.","SEO optimisation for websites and online stores","index","2026-09-12","ProfessionalService; WebSite; WebPage; BreadcrumbList; Service; FAQPage"
"/en/wordpress-development","en","WordPress website development — theme, plugins, maintenance | webandapp","WordPress development for businesses: a custom or adapted theme, only the plugins you need, WooCommerce, security and an update plan.","WordPress website development","index","2026-09-12","ProfessionalService; WebSite; WebPage; BreadcrumbList; Service; FAQPage"
"/en/corporate-website","en","Corporate website development for companies | webandapp","Corporate website development: service pages, company, team and news sections, documents, a multilingual structure and editor roles.","Corporate website development","index","2026-09-12","ProfessionalService; WebSite; WebPage; BreadcrumbList; Service; FAQPage"
"/en/landing-page","en","Landing page development for one offer or campaign | webandapp","Landing page development for one offer and an advertising campaign: clear structure, mobile design, enquiry form and result measurement. From GEL 250.","Landing page development","index","2026-09-12","ProfessionalService; WebSite; WebPage; BreadcrumbList; Service; FAQPage"
"/en/website-maintenance","en","Website maintenance and updates | webandapp","Website maintenance: updates, bug fixes, backups, security, monitoring and small changes. One-off or recurring format.","Website maintenance and updates","index","2026-09-12","ProfessionalService; WebSite; WebPage; BreadcrumbList; Service; FAQPage"
"/en/portfolio","en","Portfolio | webandapp","webandapp project case studies will be published with client permission. Examples are available on request.","Portfolio","noindex","2026-09-12","ProfessionalService; WebSite; WebPage; BreadcrumbList"
"/en/prices","en","Website development cost and app pricing 2026 | webandapp","How much a website or app costs: starting prices, what the price includes, what increases it and what we need to prepare an exact quote.","Website development cost and app pricing","index","2026-09-12","ProfessionalService; WebSite; WebPage; BreadcrumbList; OfferCatalog; FAQPage"
"/en/about","en","About webandapp — a web studio in Tbilisi, Georgia","webandapp is a web studio in Tbilisi building websites, online stores and mobile apps for businesses across Georgia — how we work and what we stand behind.","webandapp — a website and app studio in Tbilisi","index","2026-09-12","ProfessionalService; WebSite; WebPage; BreadcrumbList"
"/en/blog","en","Insights — websites, apps, prices and timelines | webandapp","Practical articles for businesses: what a website or app costs, how long it takes, WordPress or custom code, domains and hosting in Georgia.","Insights","index","2026-09-12","ProfessionalService; WebSite; WebPage; BreadcrumbList"
"/en/faq","en","FAQ — ordering a website or app | webandapp","Answers about ordering a website or app: prices, timelines, domains and hosting, SEO, support and how the collaboration works.","Frequently asked questions about ordering a website or app","index","2026-09-12","ProfessionalService; WebSite; WebPage; BreadcrumbList; FAQPage"
"/en/contact","en","Contact — write or call us | webandapp","Tell us about your project or call +995 599 30 84 14. We work with businesses across Georgia — Tbilisi, Batumi, Kutaisi and remotely.","Contact","index","2026-09-12","ProfessionalService; WebSite; WebPage; BreadcrumbList"
"/en/privacy-policy","en","Privacy policy | webandapp","Privacy policy — webandapp. Email us: mishvelidze.u@gmail.com","Privacy policy","noindex","2026-09-12","ProfessionalService; WebSite; WebPage; BreadcrumbList"
"/en/terms","en","Terms of use | webandapp","Terms of use — webandapp. This form requests a quote. It does not confirm an order or payment.","Terms of use","noindex","2026-09-12","ProfessionalService; WebSite; WebPage; BreadcrumbList"
"/en/blog/saitis-damzadebis-fasi","en","How much does a website cost in Georgia in 2026? | webandapp","Website development cost in Georgia: what determines the price, what should be included, what the hidden costs are and how to compare agency offers fairly.","How much does a website cost in Georgia in 2026?","index","2026-09-12","ProfessionalService; WebSite; WebPage; BreadcrumbList; BlogPosting"
"/en/blog/ramden-khanshi-mzaddeba-saiti","en","How long does it take to build a website — timelines by type | webandapp","How long a website takes: orientation for landing pages, business websites and online stores, the duration of each stage and what delays projects most often.","How long does it take to build a website — timelines by type","index","2026-09-12","ProfessionalService; WebSite; WebPage; BreadcrumbList; BlogPosting"
"/en/blog/facebook-gverdi-tu-saiti","en","Facebook page or website — which does a business need? | webandapp","You have a Facebook and Instagram page and wonder whether you need a website. When social media is enough, what your own site adds and how both work together.","Facebook page or website — which does a business need?","index","2026-09-12","ProfessionalService; WebSite; WebPage; BreadcrumbList; BlogPosting"
"/en/blog/aplikaciis-damzadebis-fasi","en","How much does a mobile app cost — what determines the price | webandapp","Mobile app development cost: what drives the price, MVP versus full version, iOS and Android together or apart, server and store costs, and staged budgeting.","How much does a mobile app cost — what determines the price","index","2026-09-12","ProfessionalService; WebSite; WebPage; BreadcrumbList; BlogPosting"
"/en/blog/wordpress-tu-individualuri-saiti","en","WordPress or a custom website — which should you choose? | webandapp","WordPress versus custom code compared by price, speed, security, maintenance cost and extensibility. When each makes sense and which fits your business.","WordPress or a custom website — which should you choose?","index","2026-09-12","ProfessionalService; WebSite; WebPage; BreadcrumbList; BlogPosting"
"/en/blog/domeni-da-hostingi-saqartveloshi","en","Domains and hosting in Georgia — what to know before ordering a website | webandapp","Registering a domain (.ge, .com) and choosing hosting in Georgia: whose name it should be in, which hosting fits which site, SSL, DNS, email and annual costs.","Domains and hosting in Georgia — what to know before ordering a website","index","2026-09-12","ProfessionalService; WebSite; WebPage; BreadcrumbList; BlogPosting"
"/en/blog/online-magaziis-fasi","en","How much does an online store cost in Georgia? | webandapp","Online store development cost: what sets the price, WooCommerce or a custom store, payments with Georgian banks, delivery, catalogue and running costs.","How much does an online store cost in Georgia?","index","2026-09-12","ProfessionalService; WebSite; WebPage; BreadcrumbList; BlogPosting"
"/en/blog/website-brief","en","What to prepare before ordering a website | webandapp","A practical checklist before ordering a website: goal, audience, page list, text and photos, features, integrations and access — what speeds up the project.","What to prepare before ordering a website","index","2026-09-12","ProfessionalService; WebSite; WebPage; BreadcrumbList; BlogPosting"
"/en/blog/online-store-checklist","en","What to plan before building an online store | webandapp","Online store checklist: product data, order journey, payment methods, delivery rules, policies and testing — the decisions that set a store’s price and timeline.","What to plan before building an online store","index","2026-09-12","ProfessionalService; WebSite; WebPage; BreadcrumbList; BlogPosting"
"/en/blog/why-not-google","en","Why a website does not appear in Google — finding the cause step by step | webandapp","Your site is not showing in Google? Indexing, technical barriers, content, competition and authority — how to find the real cause with Search Console, step by step.","Why a website does not appear in Google — finding the cause step by step","index","2026-09-12","ProfessionalService; WebSite; WebPage; BreadcrumbList; BlogPosting"
"/en/404","en","This page could not be found | webandapp","The address may have changed or been entered incorrectly. Return home or contact us.","This page could not be found","noindex","2026-09-12","ProfessionalService; WebSite; WebPage; BreadcrumbList"
"/ru","ru","Разработка сайтов и приложений в Грузии | webandapp","Разработка сайтов, интернет-магазинов и мобильных приложений для бизнеса в Грузии: письменное соглашение, мобильный дизайн и основа для SEO. Напишите нам.","Разработка сайтов и приложений для вашего бизнеса в Грузии.","index","2026-09-12","ProfessionalService; WebSite; WebPage; FAQPage"
"/ru/website-development","ru","Разработка сайтов для бизнеса в Грузии | webandapp","Разработка сайтов для бизнеса в Грузии: структура, дизайн, мобильная версия, основа для SEO, домен и хостинг. Что входит в услугу и что влияет на цену и сроки.","Разработка сайтов для бизнеса","index","2026-09-12","ProfessionalService; WebSite; WebPage; BreadcrumbList; Service; FAQPage"
"/ru/ecommerce-development","ru","Создание интернет-магазина в Грузии — разработка магазина | webandapp","Создание интернет-магазина в Грузии: каталог, корзина, оплата через грузинские банки, правила доставки и управление заказами. От 600 ₾.","Создание интернет-магазина","index","2026-09-12","ProfessionalService; WebSite; WebPage; BreadcrumbList; Service; FAQPage"
"/ru/mobile-app-development","ru","Разработка мобильных приложений — iOS и Android в Грузии | webandapp","Разработка мобильных приложений для iOS и Android: MVP, дизайн, серверная часть и публикация в магазинах. Создание приложения от 1 100 ₾.","Разработка мобильных приложений для iOS и Android","index","2026-09-12","ProfessionalService; WebSite; WebPage; BreadcrumbList; Service; FAQPage"
"/ru/custom-software","ru","Разработка индивидуального программного обеспечения для бизнеса | webandapp","Индивидуальное программное обеспечение для бизнеса: CRM и системы заказов, автоматизация рабочих процессов, админ-панели и интеграции с существующими системами.","Разработка индивидуального программного обеспечения","index","2026-09-12","ProfessionalService; WebSite; WebPage; BreadcrumbList; Service; FAQPage"
"/ru/ui-ux-design","ru","UI/UX дизайн для сайтов и приложений | webandapp","UI/UX дизайн: пользовательские пути, структура страниц, интерактивный прототип в Figma и дизайн-система для сайта или мобильного приложения.","UI/UX дизайн для сайтов и приложений","index","2026-09-12","ProfessionalService; WebSite; WebPage; BreadcrumbList; Service; FAQPage"
"/ru/seo","ru","SEO оптимизация — продвижение сайта в Google в Грузии | webandapp","SEO оптимизация в Грузии: технический аудит, грузинские ключевые слова по страницам, контент-план, локальное SEO и измерение через Search Console. От 50 ₾.","SEO оптимизация сайтов и интернет-магазинов","index","2026-09-12","ProfessionalService; WebSite; WebPage; BreadcrumbList; Service; FAQPage"
"/ru/wordpress-development","ru","Разработка сайта на WordPress — тема, плагины, поддержка | webandapp","Разработка сайтов на WordPress для бизнеса: индивидуальная или адаптированная тема, только нужные плагины, WooCommerce, безопасность и план обновлений.","Разработка сайта на WordPress","index","2026-09-12","ProfessionalService; WebSite; WebPage; BreadcrumbList; Service; FAQPage"
"/ru/corporate-website","ru","Создание корпоративного сайта для компании | webandapp","Создание корпоративного сайта: страницы услуг, разделы компании, команды и новостей, документы, многоязычная структура и роли редакторов.","Создание корпоративного сайта","index","2026-09-12","ProfessionalService; WebSite; WebPage; BreadcrumbList; Service; FAQPage"
"/ru/landing-page","ru","Создание лендинга для одного предложения или кампании | webandapp","Создание лендинга для одного предложения и рекламной кампании: понятная структура, мобильный дизайн, форма заявки и измерение результата. От 250 ₾.","Создание лендинга","index","2026-09-12","ProfessionalService; WebSite; WebPage; BreadcrumbList; Service; FAQPage"
"/ru/website-maintenance","ru","Техническая поддержка и обновление сайта | webandapp","Техническая поддержка сайта: обновления, исправление ошибок, резервные копии, безопасность, мониторинг и небольшие изменения. Разовый или регулярный формат.","Техническая поддержка и обновление сайта","index","2026-09-12","ProfessionalService; WebSite; WebPage; BreadcrumbList; Service; FAQPage"
"/ru/portfolio","ru","Портфолио | webandapp","Описания проектов webandapp появятся с разрешения клиентов. Примеры доступны по запросу.","Портфолио","noindex","2026-09-12","ProfessionalService; WebSite; WebPage; BreadcrumbList"
"/ru/prices","ru","Стоимость разработки сайта и приложения 2026 | webandapp","Сколько стоит сайт или приложение: стартовые цены, что входит в стоимость, что её увеличивает и какая информация нужна для точного предложения.","Стоимость разработки сайта и создания приложения","index","2026-09-12","ProfessionalService; WebSite; WebPage; BreadcrumbList; OfferCatalog; FAQPage"
"/ru/about","ru","О webandapp — веб-студия в Тбилиси","webandapp — веб-студия в Тбилиси. Создаём сайты, интернет-магазины и мобильные приложения для бизнеса по всей Грузии. Как мы работаем и за что отвечаем.","webandapp — студия сайтов и приложений в Тбилиси","index","2026-09-12","ProfessionalService; WebSite; WebPage; BreadcrumbList"
"/ru/blog","ru","Блог — сайты, приложения, цены и сроки | webandapp","Практические статьи для бизнеса: сколько стоит сайт и приложение, сколько занимает разработка, WordPress или индивидуальный код, домен и хостинг в Грузии.","Блог","index","2026-09-12","ProfessionalService; WebSite; WebPage; BreadcrumbList"
"/ru/faq","ru","Вопросы о заказе сайта и приложения | webandapp","Ответы на вопросы о заказе сайта и приложения: цены, сроки, домен и хостинг, SEO, поддержка и порядок сотрудничества.","Частые вопросы о заказе сайта и приложения","index","2026-09-12","ProfessionalService; WebSite; WebPage; BreadcrumbList; FAQPage"
"/ru/contact","ru","Контакты — напишите или позвоните | webandapp","Расскажите о проекте или позвоните: +995 599 30 84 14. Работаем с бизнесом по всей Грузии — Тбилиси, Батуми, Кутаиси и удалённо.","Контакты","index","2026-09-12","ProfessionalService; WebSite; WebPage; BreadcrumbList"
"/ru/privacy-policy","ru","Конфиденциальность | webandapp","Конфиденциальность — webandapp. Написать нам: mishvelidze.u@gmail.com","Конфиденциальность","noindex","2026-09-12","ProfessionalService; WebSite; WebPage; BreadcrumbList"
"/ru/terms","ru","Условия использования | webandapp","Условия использования — webandapp. Форма предназначена для запроса предложения. Она не подтверждает заказ или оплату.","Условия использования","noindex","2026-09-12","ProfessionalService; WebSite; WebPage; BreadcrumbList"
"/ru/blog/saitis-damzadebis-fasi","ru","Сколько стоит разработка сайта в Грузии в 2026 году | webandapp","Стоимость разработки сайта в Грузии: что определяет цену, что должно входить в стоимость, какие есть скрытые расходы и как честно сравнить предложения агентств.","Сколько стоит разработка сайта в Грузии в 2026 году","index","2026-09-12","ProfessionalService; WebSite; WebPage; BreadcrumbList; BlogPosting"
"/ru/blog/ramden-khanshi-mzaddeba-saiti","ru","Сколько времени занимает разработка сайта — сроки по типам | webandapp","Сколько времени занимает разработка сайта: ориентиры для лендинга, сайта компании и интернет-магазина, длительность этапов и что чаще всего задерживает проект.","Сколько времени занимает разработка сайта — сроки по типам","index","2026-09-12","ProfessionalService; WebSite; WebPage; BreadcrumbList; BlogPosting"
